,term_str,n_male,p_male,n_female,p_female,pos_y,diff,rank,gender_word,campaign_word,media_word,people,junk_words,nrc_anger,nrc_anticipation,nrc_disgust,nrc_fear,nrc_joy,nrc_negative,nrc_positive,nrc_sadness,nrc_surprise,nrc_trust,pf_adj,pm_adj,class,overall_freq
1740,like,1909,1.91,973,2.4,IN,-0.000484255,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.35,1.2275,other,2.07023
1758,little,210,0.21,242,0.6,JJ,-0.000386033,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.21,other,0.33753
1759,live,404,0.41,246,0.61,JJ,-0.000201314,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.61,0.41,other,0.4754
1792,love,403,0.4,690,1.7,NN,-0.001297021,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1.175,0.4,positive,0.8251
1802,lying,99,0.1,21,0.05,VBG,4.75E-05,2725.5,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0.05,0.1,negative,0.08365
1806,maddow,24,0.02,264,0.65,NN,-0.000626833,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.65,0.02,media,0.22601
1820,male,25,0.03,43,0.11,NN,-8.09E-05,230,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0.03,gender,0.05616
1821,man,564,0.57,152,0.37,NN,0.000190928,3086,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0.57,gender,0.5046
1864,media,470,0.47,159,0.39,NNS,7.94E-05,2915,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.39,0.47,media,0.44384
1878,men,103,0.1,205,0.51,NNS,-0.000402129,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.51,0.1,gender,0.23407
1889,michigan,528,0.53,39,0.1,JJ,0.000433427,3157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.53,other,0.38939
1909,misogyny,7,0.01,53,0.13,JJ,-0.000123653,139,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0.01,gender,0.04924
1931,momentum,186,0.19,30,0.07,NN,0.000112591,3000,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.07,0.19,positive,0.15076
1934,money,559,0.56,156,0.38,NN,0.000176051,3072,0,0,0,0,0,1,1,0,0,1,0,1,0,1,1,0.38,0.56,positive,0.50114
2002,nevada,498,0.5,97,0.24,JJ,0.000260335,3125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24,0.5,other,0.41498
2009,news,674,0.68,182,0.45,NN,0.000227291,3112,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.45,0.68,media,0.60479
2029,nomination,929,0.93,201,0.5,NN,0.00043621,3158,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.93,campaign,0.78939
2030,nominee,581,0.58,135,0.33,VBP,0.000249893,3119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0.58,other,0.49825
2063,nytimes,124,0.12,38,0.09,NNS,3.07E-05,2487,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0.12,media,0.11019
2066,obama,597,0.6,54,0.13,NN,0.000465651,3160,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.13,0.6,people,0.44631
2167,party,1110,1.11,206,0.51,NN,0.000605426,3167,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.51,1.0275,campaign,0.9138
2186,people,2194,2.2,910,2.24,NNS,-4.31E-05,447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.31,1.3,other,2.21308
2189,perfect,48,0.05,53,0.13,JJ,-8.25E-05,225,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0.13,0.05,positive,0.07616
2198,person,321,0.32,264,0.65,NN,-0.000328943,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.65,0.32,other,0.42791
2217,plan,409,0.41,513,1.26,VBP,-0.000854601,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.065,0.41,other,0.68795
2221,plans,219,0.22,286,0.71,NNS,-0.000485491,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.71,0.22,other,0.38023
2244,political,608,0.61,164,0.4,JJ,0.000205473,3097,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.61,campaign,0.54133
2249,politics,517,0.52,214,0.53,NNS,-9.08E-06,960,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.53,0.52,campaign,0.52327
2251,poll,570,0.57,32,0.08,NN,0.000492812,3163,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0.57,campaign,0.40977
2280,powerful,91,0.09,72,0.18,JJ,-8.62E-05,216,0,0,0,0,0,1,1,1,1,1,0,1,0,0,1,0.18,0.09,positive,0.11943
2302,president,2947,2.96,1073,2.65,NN,0.000310303,3139,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1.4125,1.49,campaign,2.85863
2304,presidential,2625,2.63,986,2.43,JJ,0.00020184,3096,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3575,1.4075,campaign,2.5646
2310,pretty,174,0.17,87,0.21,RB,-4.00E-05,479,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0.21,0.17,positive,0.18308
2321,primary,1798,1.8,493,1.22,JJ,0.000587876,3166,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.055,1.2,campaign,1.61034
2331,problem,159,0.16,75,0.18,NN,-2.54E-05,661,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0.18,0.16,negative,0.16654
2339,progressive,258,0.26,279,0.69,JJ,-0.000429115,23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.69,0.26,campaign,0.40061
2345,promise,80,0.08,50,0.12,VBP,-4.30E-05,448,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0.12,0.08,positive,0.09308
2365,proud,264,0.26,261,0.64,JJ,-0.000378717,31,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0.64,0.26,positive,0.38426
2374,public,747,0.75,177,0.44,JJ,0.000312838,3141,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.44,0.75,positive,0.64863
2393,qualified,35,0.04,91,0.22,VBD,-0.00018926,91,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.22,0.04,positive,0.09886
2412,race,1884,1.89,919,2.27,NN,-0.00037619,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3175,1.2225,other,2.01426
2425,rally,1326,1.33,223,0.55,RB,0.000780159,3173,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.55,1.0825,campaign,1.07494
2439,read,368,0.37,209,0.52,JJ,-0.000146196,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.52,0.37,other,0.41905
2444,realdonaldtrump,852,0.85,154,0.38,NN,0.00047486,3161,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.38,0.85,people,0.69631
2512,respect,113,0.11,82,0.2,VBP,-8.88E-05,210,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0.2,0.11,positive,0.13943
2535,revolution,190,0.19,12,0.03,NN,0.000160983,3056,0,0,0,0,0,1,1,0,1,0,1,1,1,1,0,0.03,0.19,positive,0.13768
2543,right,888,0.89,423,1.04,RB,-0.000152265,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.01,0.89,other,0.93905
2574,running,655,0.66,278,0.69,VBG,-2.85E-05,615,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.69,0.66,campaign,0.66981
2602,sc,596,0.6,60,0.15,NN,0.000449854,3159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0.6,other,0.45285
2651,senator,493,0.49,460,1.13,NN,-0.000639675,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0325,0.49,campaign,0.69928
2657,sengillibrand,7,0.01,171,0.42,NN,-0.000414588,24,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.42,0.01,people,0.14407
2677,sexism,19,0.02,302,0.74,NN,-0.000725539,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.74,0.02,gender,0.25544
2678,sexist,41,0.04,51,0.13,NN,-8.46E-05,220,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0.04,gender,0.06943
2684,share,101,0.1,63,0.16,NN,-5.40E-05,360,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0.16,0.1,positive,0.11962
2692,shit,103,0.1,59,0.15,VBD,-4.22E-05,463,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0.15,0.1,negative,0.11635
2741,snl,10,0.01,261,0.64,NN,-0.000633479,14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.64,0.01,media,0.21601
2744,socialism,247,0.25,12,0.03,VBP,0.000218154,3106,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.03,0.25,other,0.17806
2745,socialist,434,0.44,17,0.04,JJ,0.000393387,3154,0,1,0,0,0,1,0,1,1,0,1,0,1,0,0,0.04,0.44,campaign,0.3092
2806,staff,359,0.36,114,0.28,NN,7.90E-05,2914,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0.36,campaign,0.33384
2822,state,971,0.97,250,0.62,NN,0.000357524,3150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.62,0.97,other,0.85555
2825,states,677,0.68,160,0.39,NNS,0.000284542,3131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.39,0.68,other,0.58517
2895,super,1444,1.45,448,1.1,JJ,0.000343764,3146,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.025,1.1125,campaign,1.33555
2898,supertuesday,829,0.83,253,0.62,VBP,0.000207702,3098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.62,0.83,other,0.76133
2900,support,1249,1.25,401,0.99,NN,0.00026406,3126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,1.0625,other,1.16498
2902,supporter,187,0.19,56,0.14,JJR,4.95E-05,2749,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0.14,0.19,positive,0.17365
2903,supporters,795,0.8,249,0.61,NNS,0.000183462,3078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.61,0.8,other,0.73787
2904,supporting,193,0.19,109,0.27,VBG,-7.52E-05,252,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.27,0.19,positive,0.21616
2913,surprise,84,0.08,72,0.18,NN,-9.33E-05,198,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0.18,0.08,positive,0.1127
2948,tax,188,0.19,67,0.17,NN,2.34E-05,2264,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.17,0.19,negative,0.18346
2975,thank,748,0.75,1115,2.75,NN,-0.001998845,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4375,0.75,other,1.404
2984,things,375,0.38,215,0.53,NNS,-0.000153969,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.53,0.38,other,0.42905
2985,think,1158,1.16,563,1.39,VBP,-0.000226632,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0975,1.04,other,1.23521
3015,times,309,0.31,126,0.31,NNS,-7.33E-07,1213,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.31,0.31,media,0.31
3034,tough,91,0.09,87,0.21,JJ,-0.00012323,141,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.21,0.09,negative,0.12924
3064,trump,3554,3.56,608,1.5,JJ,0.002065604,3179,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.125,1.64,people,2.88638
3067,truth,137,0.14,38,0.09,NN,4.37E-05,2681,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.09,0.14,positive,0.12365
3071,tuesday,1615,1.62,407,1,VBP,0.000616364,3169,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.155,campaign,1.41726
3079,turnout,132,0.13,7,0.02,NN,0.000115137,3007,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.13,campaign,0.09403
3081,tv,227,0.23,63,0.16,NN,7.24E-05,2897,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0.23,media,0.20711
3123,united,276,0.28,60,0.15,JJ,0.000128895,3025,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.15,0.28,positive,0.23749
3176,victory,348,0.35,22,0.05,NN,0.000294802,3132,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0.05,0.35,positive,0.2519
3181,violence,108,0.11,28,0.07,NN,3.93E-05,2624,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0.07,0.11,negative,0.09692
3186,vision,77,0.08,83,0.2,NN,-0.00012741,138,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.2,0.08,positive,0.11924
3197,vote,1566,1.57,954,2.35,NN,-0.000781438,9,0,1,0,0,0,1,1,0,0,1,1,1,1,1,1,1.3375,1.1425,campaign,1.82506
3198,voted,368,0.37,293,0.72,VBD,-0.000353303,35,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.72,0.37,campaign,0.48445
3200,voters,1513,1.52,305,0.75,NNS,0.000765545,3172,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,1.13,campaign,1.26821
3202,voting,515,0.52,349,0.86,VBG,-0.000343933,39,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.86,0.52,campaign,0.63118
3210,wait,151,0.15,130,0.32,NN,-0.000169069,102,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.32,0.15,negative,0.20559
3220,want,825,0.83,436,1.07,VBP,-0.000247506,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0175,0.83,other,0.90848
3224,war,204,0.2,23,0.06,NN,0.000147904,3046,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0.06,0.2,negative,0.15422
3234,watch,526,0.53,238,0.59,NN,-5.92E-05,322,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.59,0.53,other,0.54962
3244,wealth,90,0.09,60,0.15,VBP,-5.77E-05,336,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0.15,0.09,positive,0.10962
3264,whipclyburn,181,0.18,5,0.01,NN,0.000169215,3065,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.01,0.18,people,0.12441
3265,white,570,0.57,350,0.86,JJ,-0.000291233,52,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0.86,0.57,other,0.66483
3275,win,1532,1.54,270,0.67,VBP,0.000870896,3175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.67,1.135,other,1.25551
3279,winning,260,0.26,65,0.16,VBG,0.000100519,2976,0,0,0,0,0,0,1,1,0,1,0,1,1,1,1,0.16,0.26,positive,0.2273
3291,woman,169,0.17,564,1.39,NN,-0.001221063,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0975,0.17,gender,0.56894
3292,women,309,0.31,712,1.76,NNS,-0.001445545,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.19,0.31,gender,0.78415
3294,wonderful,31,0.03,41,0.1,JJ,-7.00E-05,274,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0.1,0.03,positive,0.05289
3299,work,445,0.45,338,0.83,NN,-0.000387021,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.83,0.45,other,0.57426
3341,young,264,0.26,59,0.15,JJ,0.000119324,3014,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0.15,0.26,positive,0.22403
